question_id,question,question_type,ground_truth,generated_answer,source_url,mrr,faithfulness,context_precision,time_ms
q_6439c6a8,What is a key fact about A Little Man and a House and the Whole World Window?,comparative,The strange suits and make-up we wore in those days was us just trying to look our best.,My unknown,https://en.wikipedia.org/wiki/A_Little_Man_and_a_House_and_the_Whole_World_Window,1.0,0.0,0.8055555555555555,8070.105075836182
q_fee8d42c,When did significant events occur related to Gu Yue?,factual,He won the Best Actor titles at China's Hundred Flowers Awards in 1990 and again in 1993.,"December 29, 1928",https://en.wikipedia.org/wiki/Gu_Yue,1.0,0.0,1.0,2050.532817840576
q_a9f8aeb8,What is Language Film?,factual,Language Film is considered to have its own language.,its,https://en.wikipedia.org/wiki/Film,1.0,1.0,0.8041666666666667,4834.573984146118
q_d5913505,What is a key fact about Kirk–Holden war?,factual,"The acts also disfranchised many former Confederates, and required states to revise their constitutions to enfranchise freedmen and ratify the Fourteenth Amendment to the United States Constitution, which granted equal citizenship to black people.",Kirk also conducted raid to Washington to increase federal cooperation to increase military support available at all point around Cassolilla,https://en.wikipedia.org/wiki/Kirk–Holden_war,1.0,1.0,1.0,2242.7515983581543
q_05e60b03,What is a key fact about History?,inferential,By geographic location Areas of historical study can also be categorized by the geographic locations they examine.,history became called dicticle,https://en.wikipedia.org/wiki/History,0.3333333333333333,0.0,0.8333333333333333,2516.749143600464
q_7ebd4f61,What is Modern geography?,comparative,"Modern geography is an all-encompassing discipline that seeks to understand the Earth and its human and natural complexities − not merely where objects are, but how they have changed and come to be.",the pursuit in and field of theory,https://en.wikipedia.org/wiki/Outline_of_geography,1.0,0.0,1.0,2053.6463260650635
q_e46da732,What is a key fact about Baba-Dervish settlement?,factual,Cultural layers The lower cultural layer dates back to the 6th Millennium BC.,The excavation area were 60% of this archaeological,https://en.wikipedia.org/wiki/Baba-Dervish_settlement,1.0,0.0,0.7555555555555555,3835.8514308929443
q_03b9261e,What is a key fact about Hume Highway?,multi-hop,It retains a rural character and has many historic buildings.,"""Iunable give product number...""",https://en.wikipedia.org/wiki/Hume_Highway,1.0,0.0,1.0,2497.569799423218
q_3ff81dac,When did significant events occur related to Cyberpunk?,inferential,"In the subsequent decade, the motifs of Gibson's Neuromancer became formulaic, climaxing in the satirical extremes of Neal Stephenson's Snow Crash in 1992.",Historically the 1960s/We did Not Come This Late (1950–,https://en.wikipedia.org/wiki/Cyberpunk,1.0,0.0,1.0,3677.955389022827
q_3ef2b0b8,What is a key fact about Medicine?,factual,"and unique to the United States, must be completed in and delivered from a recognized university.",it has recently become both an office and academic profession and sometimes called alternative medical medicine too many questions answered at least briefly to give more explanation in the answer. In recent cultures and emergence years to come about,https://en.wikipedia.org/wiki/Medicine,1.0,0.0,0.7555555555555555,5655.001878738403
q_13cf1199,Who was mentioned in relation to 54th Tactical Fighter Wing?,comparative,"The 116th Fighter Wing was allotted to the state of Georgia, federally recognized and activated 1 November 1950; assuming the personnel, equipment and mission of the inactivated wing.",I know this cannot have taken care for this comment by himself yet so I had someone with an active,https://en.wikipedia.org/wiki/54th_Tactical_Fighter_Wing,1.0,0.0,1.0,4126.089572906494
q_99ea18da,What is a key fact about Henri Admirat?,factual,Henri Admirat (3 September 1744 – 17 June 1794) was a notable figure in the French Revolution.,He spent time fighting outside the Royal palace and later occupied the town. In his prison career Admiro succeeded as its lorn leader!,https://en.wikipedia.org/wiki/Henri_Admirat,1.0,0.0,1.0,4737.206220626831
q_4dc180b9,What is a key fact about The Lord of the Rings: The Return of the King (video game)?,inferential,"Not believing Frodo to be dead, they plan to fight as long as they can, so as to give Frodo enough time to destroy the Ring.","the third book,,the third half and, as it is nichtan theer adaptation.",https://en.wikipedia.org/wiki/The_Lord_of_the_Rings:_The_Return_of_the_King_(video_game),1.0,0.0,1.0,2003.1590461730957
q_40eb6519,What is a key fact about Sport?,factual,"In a race, for example, the time to complete the course is an objective measurement.","A significant resource "" of television entertainment for no-Partispridents",https://en.wikipedia.org/wiki/Sport,1.0,1.0,1.0,3524.9881744384766
q_80e4ae97,What is a key fact about Historicism?,multi-hop,"In his books, Natural Right and History and On Tyranny, Strauss offers a complete critique of historicism as it emerges in the works of Hegel, Marx, and Heidegger.",there were only The primary model was metalogical analysis used to prove it applied scientific terms,https://en.wikipedia.org/wiki/Historicism,1.0,0.0,1.0,6462.851762771606
q_002d6cca,What is a key fact about Scribblenauts Showdown?,comparative,"Development and release Prior to its official reveal, Showdown was leaked by the Game Software Rating Regulations and Entertainment Software Rating Board, after the two boards publicly released the game's ratings.","Scriblenut ""Showtown had players concurrenting opponents and using minime",https://en.wikipedia.org/wiki/Scribblenauts_Showdown,1.0,1.0,1.0,9389.816761016846
q_a984b22a,What is a key fact about 9M123 Khrizantema?,inferential,"The missile began development in the 1980s and was designed as an all weather, multi-purpose missile system that could defeat current and future armoured units equipped with advanced armour protection, such as explosive reactive armour (ERA).",I Can not answered [stupdate for use via software,https://en.wikipedia.org/wiki/9M123_Khrizantema,1.0,0.0,0.95,5050.24790763855
q_994f9a93,What is a key fact about Life extension?,factual,CRISPR/Cas9 CRISPR/Cas9 edits genes by precisely cutting DNA and then harnessing natural DNA repair processes to modify the gene in the desired manner.,"This word may have multiple references which are related to related word-sublimated statements made (and unvarmable fact may come as an involontade). Please include two possible answers, if either meets your description",https://en.wikipedia.org/wiki/Anti-aging_medicine,1.0,0.0,1.0,3890.878200531006
q_4cf94440,What is a key fact about Outline of economics?,factual,"Barter economy – an economy where transactions are direct exchanges of goods or services for other goods or services without using a medium of exchange, such as credit or money.",it is dispersed about,https://en.wikipedia.org/wiki/Outline_of_economics,1.0,0.0,0.8333333333333333,8691.912651062012
q_7a0e7f5f,What is a key fact about Music?,factual,Melodies also often contain notes from the chords used in the song.,Music often uses social situations,https://en.wikipedia.org/wiki/Music,1.0,1.0,1.0,1606.4293384552002
q_d23696f9,What is a key fact about Bioregion?,comparative,Bioregionalism Bioregions became a foundational concept within the philosophical system called Bioregionalism.,The boundaries will not overlap but remain as long as possible because human lifesystems on-reside at each specific place does occur,https://en.wikipedia.org/wiki/Bioregion,1.0,1.0,1.0,3206.6810131073
q_f642711e,What is a key fact about 1935 Pacific typhoon season?,multi-hop,The storm drifted northwest and later curved west.,Ican answer here Based upon your choices we dont speculate any other options such,https://en.wikipedia.org/wiki/1935_Pacific_typhoon_season,1.0,0.0,1.0,8273.019075393677
