question_id,question,question_type,ground_truth,generated_answer,source_url,mrr,faithfulness,context_precision,time_ms
q_1de2c5a5,which groups represent parts more people now as global war is expanding into?,factual,"International political institutions on the international level include the International Criminal Court, the International Monetary Fund, and the World Trade Organization.",imperilism or anakchromoral The person,https://en.wikipedia.org/wiki/Politics,0.0,0.0,0.0,5292.751312255859
q_6ddd8f40,About What month or ward became Opera at Philadelphia to play Lady Van Bundelburg Opera before her show called as?,factual,"Comedy of menace is the body of plays written by David Campton, Nigel Dennis, N.",February 11860 or 2 June 1905? uncharted time? â oh no that time and date' x,https://en.wikipedia.org/wiki/Comedy_of_menace,0.0,0.0,0.0,4916.153192520142
q_97139b18,I. E-Lewlet and RPA overlap what category for human population development for human groups called that includes the same word?,factual,"In addition to all of the other subdisciplines of geography, GIS specialists must understand computer science and database systems.",populations-specific partnerships that hold a high common level across all individuals that replicated in heterotrophe ecosystem-like environments. To describe ways in,https://en.wikipedia.org/wiki/Geography,0.25,0.0,0.25,3894.446611404419
q_019944de,While creating Windows CE we did much by creating apps first about:how far to download that in total that can have internet and cell to save over it then installed everything?,factual,"Android Central is a technology journalism website based in the United States, Canada, and the United Kingdom that covers the Android operating system.",There seems less room available but there may come times in future and it can come close to that than most computers would be. I could just make everything easier to install than much at best when making,https://en.wikipedia.org/wiki/Android_Central,1.0,0.0,1.0,4870.950937271118
q_dab3f486,"A horse will walk along its natural boundary within 20,000,000 days on average since two horses ride each and nearly 12 foot long when in flight how big or low-main gear was put to run their dogs by both male of animal weight a mile by weight?",factual,Modern physics is a branch of physics that developed in the early 20th century and onward or branches greatly influenced by early 20th century physics.,kilometer rides in each and,https://en.wikipedia.org/wiki/Modern_physics,0.0,0.0,0.0,2450.078010559082
q_adee8d5f,"An active volcano occurs from an increase due the impact from that same volume; foreeice,?",factual,Sociology and applied sociology are connected to the professional and academic discipline of social work.,Explosives with very different concentration will cause barotic injury as well: I cannot give an opinion since no single instance was found which involved explosive gas. So I,https://en.wikipedia.org/wiki/Sociology,0.0,0.0,0.0,10465.856552124023
q_a1753612,Did you find animals or small creatures during summer to get something into winter rain patterns suited them to do differently when exposed to something?,factual,"Distribution Orchids in the genus Peristylus are found in Japan, China, Mongolia, India, Indochina, Indonesia, Philippines, Malaysia, New Guinea, Polynesia and Australia.",This is too expansive an,https://en.wikipedia.org/wiki/Peristylus,0.0,0.0,0.0,7379.8277378082275
q_4025dd2e,"Do electrical power sources not make telephone cordloom less magnetic because electron would emit other magnetic electricity waves without current, that?",factual,"With the standard consensus that the laws of physics are universal and do not change with time, physics can be used to study things that would ordinarily be mired in uncertainty.","Yes,",https://en.wikipedia.org/wiki/Physics,0.5,1.0,0.5,3843.634605407715
q_2a632456,Are there or are some cultures close at school where something they talk too hard often does this behavior lead users the indian to find they’reagan?,factual,Conceptual analysis is a common method in analytic philosophy.,This might make disputes about who points should be cited by textbook teachers.It can make an unsuccessful,https://en.wikipedia.org/wiki/Philosophy,0.5,1.0,0.5,2032.0038795471191
q_9a25db1f,Who believed social competition against nation should bring success at home or play ground balls all by two miles high or too large?,factual,"The latter, an aspect of public choice theory, models public-sector behaviour analogously to microeconomics, involving interactions of self-interested voters, politicians, and bureaucrats.",Ancient pelicants. They thought running riar was better off before they realized that football was the proper form at that instant of time. This predicaments is particularly harsh at time,https://en.wikipedia.org/wiki/Economics,0.0,0.0,0.0,4120.296001434326
q_720ffce8,In additions some chemicals used before agriculture. Where have products usually sold produced over that extended lifetime v?,factual,"Whereas, the NDH complexes are responsible for providing a gateway for electrons to form an ETC.","Tolerids from corn/canain, soybean nuts, corn starchy green beans or green pepper. Orcharduly, the food chain includes milk products that had no use for growing or processing milk, egg beans are not feed additive",https://en.wikipedia.org/wiki/Chlororespiration,0.0,0.0,0.0,4338.3073806762695
q_e4543ce4,how deep south can the coast range south outweither according aloandrolea in river in declived period Spain' the early 1715 to middle eight?,factual,Nor is it always the worse for the society that it was no part of it.,"No, none found",https://en.wikipedia.org/wiki/Economics,0.0,0.0,0.0,8252.243757247925
q_4566641a,"The German ""senrepraticosterica'oimus dermathericate'the body made into tissue cell surface as muscle grows?",factual,"A stereogram can also consist of two separate images that are placed separately in a stereoscope, or that are specially prepared and placed on top of each other, with color filters, polarizing filterss, or optical ridges used to ensure that each eye sees only one of the images.","It doesn"". Sorry its been taken down for the plot. The",https://en.wikipedia.org/wiki/Binocular_vision,0.0,0.0,0.0,5632.19952583313
q_78e99b73,Before his passing wed by Gregor Pope during Llaves during her rule How large?,factual,"The study of decision-making in politics is important for scholarly political biographers, who can take different approaches such as focusing on psychology/personality, bureaucracy/interests, fundamental ideas, or societal forces.",I cannot offer it,https://en.wikipedia.org/wiki/Biography,0.0,0.0,0.0,2596.1694717407227
q_8a307967,Of all two chemical components by volume is?,factual,"Interdisciplinary Interdisciplinary fields include agrochemistry, astrochemistry (and cosmochemistry), atmospheric chemistry, chemical engineering, chemical biology, chemo-informatics, environmental chemistry, geochemistry, green chemistry, immunochemistry, marine chemistry, materials science, mechanochemistry, medicinal chemistry, molecular biology, nanotechnology, oenology, pharmacology, phytochemistry, solid-state chemistry, surface science, thermochemistry, and many others.",No available matching text,https://en.wikipedia.org/wiki/Chemistry,1.0,0.0,0.95,2018.9554691314697
q_24d8d29d,"Did someone make her wedding suit earlier today due only 4 people that worked at MCA', then we now look through r&B on wedding-spot or anything along our vow the time since when marriage will reciest all be held or are the guests there not ?",factual,"Aftermath In 2011 and 2012, during Obama's re-election campaign, the political advocacy group Americans for Prosperity spent $8.",I is Not providing that right above. Please try other answers in this matter and preferably save this statement as they would have changed that for this to not relevant to the information you deem relevant without making reference to prior choices(cities) held under consideration when booking information from other resources (e.g legal). These data and potential user comments do constitute qualified medical as to whether information we represent includes,https://en.wikipedia.org/wiki/Solyndra,0.0,0.0,0.0,7766.537427902222
q_7e356ca3,"Name at large where did an increase with an interest party come, most?",factual,"Older participation Masters sport, senior sport, or veteran sport is an age category of sport, that usually contains age groups of those 35 and older.",I would never expect so much. Overall it wasnt necessarily successful in summing things so you know it should actually end up paying a better buck in fees and salaries,https://en.wikipedia.org/wiki/Sport,0.0,0.0,0.0,6434.139251708984
q_1923390d,This text also uses one of many similar images in movies -- in part an account of in particular event/stage performance performances/siguionages filmed or used?,factual,"The ING headquarters building (in Amsterdam, Netherlands) has been described as looking like something out of Star Wars that could ""move forward on its legs"".","(evidence missing); ""in America",https://en.wikipedia.org/wiki/Architecture_of_Star_Wars,0.0,0.0,0.0,1883.6085796356201
q_339cdc8e,Who could inherit power all these lifetime periods combined by doing work at age 56-succrencely outnumbered anyone. How if many?,factual,"And Allah is All-Forgiving, Most Merciful.","No known prime example. All people would be dead today, that person should become old and wealthy today , while younger generations have lived and been driven, essentially out, for mill times",https://en.wikipedia.org/wiki/Coexistence,0.0,0.0,0.0,4709.439277648926
q_998cbfee,Who was born and credited later due this incident from in England today named?,factual,Atoms are the basic particles of the chemical elements and the fundamental building blocks of matter.,No.,https://en.wikipedia.org/wiki/Atom,0.0,1.0,0.0,4120.758771896362
q_16d4b675,"Is cyberstalcons usually active , either alive as bacteria who go after dead?",factual,"This fashion goes by names like ""tech wear"", ""goth ninja"" or ""tech ninja"".","No, not at an eraological rate, this cannot have existed simultaneously. There can be different reasons for epoch. Therefore the first answer seems wrong and cannot accurately have the second option",https://en.wikipedia.org/wiki/Cyberpunk,0.0,0.0,0.0,5350.038290023804
